unit_id	source_layer	source_unit_id	stratum	difficulty_rung	domain	release_split	query_case_count	candidate_pool_id	helpful_skill_id	risky_sibling_id	role_flip	oracle_gate_status	blind_gate_status	leakage_flag	query_sha256	helpful_text_sha256	risk_text_sha256
core::sra_v2_2::bigcodebench_000::wrong_precondition	core_audited_marked_sibling	sra_v2_2::bigcodebench_000::wrong_precondition	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	train	1	core_all694_pool	sra_v2_2::bigcodebench_000::wrong_precondition::helpful	sra_v2_2::bigcodebench_000::wrong_precondition::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	16ee5edc36834c88eac7968d1bd36c7169487dbb425e10b8702b60fb4afc5d2a	8e803988c41230f17b1d2071f46b254d1cd25a425e71cb71e4e2c63c18ff6a3b	c100d26064f0c808c357d263ab3f7ef3de398711b6cbaff4cd3fabf6f01a4f84
core::sra_v2_2::bigcodebench_001::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_001::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	train	1	core_all694_pool	sra_v2_2::bigcodebench_001::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_001::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	7d739b722a9aeccf5ff65702a063034accb628b941cdf45e9a858f6c565f283d	bc0627808779e13c8ea067602c016fcd4ef3bea0e43a1fbc958d2cc26384c956	d6cb6cd6875c47c1605d56126413b2fe8d6bb7249fd54a0170b56834fce7848c
core::sra_v2_2::bigcodebench_002::wrong_precondition	core_audited_marked_sibling	sra_v2_2::bigcodebench_002::wrong_precondition	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	train	1	core_all694_pool	sra_v2_2::bigcodebench_002::wrong_precondition::helpful	sra_v2_2::bigcodebench_002::wrong_precondition::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	7d739b722a9aeccf5ff65702a063034accb628b941cdf45e9a858f6c565f283d	ecfa771f3bf5f42f9ed25c0a00a157e6ad340909b7723fb804de37f5f9e35172	f0124989f8bc64671b3a9e45dc287d2f9b0f8aa23de026df7a2af1798951c99f
core::sra_v2_2::bigcodebench_003::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_003::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	test	1	core_all694_pool	sra_v2_2::bigcodebench_003::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_003::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	f703ec90c521d77fc723c134d49cb33508b91d117f4c6fa592d71c62781fd40c	71f1455e576a2a28d4452d4ad16e27e9fe289ec914e4579cca226c45cfc57e14	bc7de3d5ec947701945e48ddfc05c0e6a8a4a70aa1db3c9314a8b24ba3b84c81
core::sra_v2_2::bigcodebench_004::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_004::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	train	1	core_all694_pool	sra_v2_2::bigcodebench_004::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_004::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	9cac797beba034f209d110851b703b847d24bbd8284b9c055e8830269fe017be	b62af625bd92140e0aeff30ea991f38e6aaa0c0d7e0ae34ce6b937986f893994	fd5991a55b58efc9fdc954b0cbe01c88c7e55e8a59da4f6573c09af59517a3ac
core::sra_v2_2::bigcodebench_005::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_005::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	test	1	core_all694_pool	sra_v2_2::bigcodebench_005::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_005::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	60e8960674eddb67c34c1406abee040d611564f69733e555529b836c2305ae42	7efd5d7268e2ff353877c0ac0faf0631110ad9b766d5bf89234d2651482f16be	53056b574c83f7a9f949c28ba58a7c363c83bdfb2cbce0ac7f628d54955a5d3d
core::sra_v2_2::bigcodebench_006::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_006::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	train	1	core_all694_pool	sra_v2_2::bigcodebench_006::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_006::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	a48b9f273b53ceb11bf8716949f62c2f4d21699960ca30a24cec1490ea626583	fa0a6f8d49ab616f9db73f6e75c66ff131e7ed9b0223cb92b39ab64a8322cde9	579e150bcec4d7b19f7106c2bd870abfcc596d65c2f89774bec77eb5729e6082
core::sra_v2_2::bigcodebench_007::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_007::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	test	1	core_all694_pool	sra_v2_2::bigcodebench_007::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_007::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	0d10a029bca22db837906c76e8c5ce76283413b6cdef09d51622765042938dce	4706b1c298aae28b4c38c1486c0b3107befd3cee0bd15281f35eecefd9a030ac	e617459d3807d8a7a9dae4678b0714ac930b7e2733399b835ff66fddd513b562
core::sra_v2_2::bigcodebench_008::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_008::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	train	1	core_all694_pool	sra_v2_2::bigcodebench_008::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_008::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	a48b9f273b53ceb11bf8716949f62c2f4d21699960ca30a24cec1490ea626583	8f4bf68df875e3dad3d2f5ff3340da33ee12f9d10ef524df9d227ce03bcd960b	138ea716f48c04b996b9aa165298b253b358efae0781d135589ec148fae0f792
core::sra_v2_2::bigcodebench_009::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_009::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	train	1	core_all694_pool	sra_v2_2::bigcodebench_009::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_009::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	8a09dca08dab084f64ab352c94c26e15bd10e84a1252e9a8282dea698c3c3f7b	8704463b451f814cda61e695fee28bc44578e0ef8bb15cb0f383a70cfa518006	f88e21079c8756ca54a5b977784e19f5512a9b4ce15cd4fb8651fb4be521f074
core::sra_v2_2::bigcodebench_010::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_010::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	train	1	core_all694_pool	sra_v2_2::bigcodebench_010::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_010::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	908f6d77b907b621d6fc48e9732359134f3f115557d84e92bc8c8be56074bcfe	d591400d9242f7eff5dfe528bd653fd66e8cff471c5d6c5765bf09ad14a30783	2ff6c739a97fcb7d8c513e38f6722013aca04793ca68a7730529321fcc93392b
core::sra_v2_2::bigcodebench_011::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_011::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	train	1	core_all694_pool	sra_v2_2::bigcodebench_011::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_011::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	cc46aeb4c30b2f1902bd882de0c8dc3096e4df7b4bb1b5617ae3fa065ecc37cb	1fb708e35f73f9b4ee36f07d8df6d0f3e42543192828447f9f86eb67b2564fea	8e1ee07a44102523687d334c883255a98acb4cebbb6b275727a19794a8312af4
core::sra_v2_2::bigcodebench_012::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_012::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	test	1	core_all694_pool	sra_v2_2::bigcodebench_012::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_012::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	be14bd24169128ebec3d34691bf32aacdcc25d16ddad70bbe6d556e8f432e052	3976f2124d1e9a26a70a42ef618bc47297541b85ef46efb22bd9b3d8e5aa857f	69997ed78d0eaf140a5b86cfb59788f446e265251d10e3a105d7e3fb009ca42e
core::sra_v2_2::bigcodebench_013::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_013::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	train	1	core_all694_pool	sra_v2_2::bigcodebench_013::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_013::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	58427a409ed5818ebf7a7a08245c049420bc619c73959b5ef1a5fb4caf5ab8a9	be7ab33d0230219fa4b9c513dac568e177b8e4e8a1be752271d72858fbadcac2	6033d5bbf44024b820e09c120710a5693b063b81380b2dda7bd4dbdace9123fa
core::sra_v2_2::bigcodebench_014::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_014::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	train	1	core_all694_pool	sra_v2_2::bigcodebench_014::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_014::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	cac7afe7562bd55d08c012db644cf02a166130b99cb3154858ff06922c19a597	d264e8619cccca96a0b7d97b2823851bd9966ac0ddde58e1c795d0fdeb07fb66	a37640fc74ef9dfe5940b12cfd1b0e1cf473de6ec009902920b7a60ba943bf23
core::sra_v2_2::bigcodebench_015::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_015::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	train	1	core_all694_pool	sra_v2_2::bigcodebench_015::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_015::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	db79fc160bac3fdeaccb65cec50e9b45841a69566bc65992294094291b9e5ba0	3ce9c04d85a764410203846b78f3792b27deb41d92ea143e18d48df054bbc9b5	3ddad6ff521f46c6634f2372bc9a56f0d8a83eb4dad18ff4182e159b4d328f05
core::sra_v2_2::bigcodebench_017::wrong_precondition	core_audited_marked_sibling	sra_v2_2::bigcodebench_017::wrong_precondition	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	test	1	core_all694_pool	sra_v2_2::bigcodebench_017::wrong_precondition::helpful	sra_v2_2::bigcodebench_017::wrong_precondition::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	1c81b3db1d60f5f83ca0b8a8c716ef77544fb550b0add5fea07647b2acd78283	fed7a55763b53b6cbf5a37b98f614fc1c18736f12ac4bb92ef4f0624df855feb	3113b56716750bc72c89eb20e021af14addface566fdca23874683eef07b5653
core::sra_v2_2::bigcodebench_018::wrong_resource_pointer	core_audited_marked_sibling	sra_v2_2::bigcodebench_018::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	test	1	core_all694_pool	sra_v2_2::bigcodebench_018::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_018::wrong_resource_pointer::execution_risk	no	core_admission_carried_forward	core_static_cue_clean_rebuilt	none	52c0735fd6874a768a5d9c17a0823b38545b66c3d5a30219ae99872296d09016	321933d3b8f8e87f79e7a22ac6f47ee27683e4168f8cf27c3884456fd4163ec2	d12bf05bdb62b1bcaf9ccdbefd04e7715897dc6abf4676421e441f8c83e488c3
