method_id	method_label	stratum	query_id	helpful_id	risk_id	target_family	target_family_matches	source_path	selector_mode	ranked_count	selected_count	helpful_rank_before	risk_rank_before	helpful_rank_after	risk_rank_after	recall_at_3_before	hsr_at_3_before	ndcg_at_3_before	recall_at_3_after	hsr_at_3_after	ndcg_at_3_after	unmarked_same_family_pressure_at_3_before	unmarked_same_family_pressure_at_3_after	recall_at_5_before	hsr_at_5_before	ndcg_at_5_before	recall_at_5_after	hsr_at_5_after	ndcg_at_5_after	unmarked_same_family_pressure_at_5_before	unmarked_same_family_pressure_at_5_after	recall_at_20_before	hsr_at_20_before	ndcg_at_20_before	recall_at_20_after	hsr_at_20_after	ndcg_at_20_after	unmarked_same_family_pressure_at_20_before	unmarked_same_family_pressure_at_20_after
hybrid_lexical_rrf	Hybrid lexical RRF	core	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	sra_v2_2::bigcodebench_000::wrong_precondition::helpful	sra_v2_2::bigcodebench_000::wrong_precondition::execution_risk	family::sra_v2_2::bigcodebench_000::wrong_precondition	1	fixed_rank_archive:hybrid_lexical_rrf:core	released_family_full_pool_recomputed	8048	7354	3	4	2		1.0	0.0	0.5	1.0	0.0	0.6309297535714575	1.0	1.0	1.0	1.0	0.5	1.0	0.0	0.6309297535714575	1.0	1.0	1.0	1.0	0.5	1.0	0.0	0.6309297535714575	1.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	core::sra_v2_2::bigcodebench_001::wrong_resource_pointer::q1	sra_v2_2::bigcodebench_001::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_001::wrong_resource_pointer::execution_risk	family::sra_v2_2::bigcodebench_001::wrong_resource_pointer	1	fixed_rank_archive:hybrid_lexical_rrf:core	released_family_full_pool_recomputed	8048	7354	1	2	1		1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	core::sra_v2_2::bigcodebench_002::wrong_precondition::q1	sra_v2_2::bigcodebench_002::wrong_precondition::helpful	sra_v2_2::bigcodebench_002::wrong_precondition::execution_risk	family::sra_v2_2::bigcodebench_002::wrong_precondition	1	fixed_rank_archive:hybrid_lexical_rrf:core	released_family_full_pool_recomputed	8048	7354	9	8		5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3010299956639812	0.0	1.0	0.0	1.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	core::sra_v2_2::bigcodebench_003::wrong_resource_pointer::q1	sra_v2_2::bigcodebench_003::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_003::wrong_resource_pointer::execution_risk	family::sra_v2_2::bigcodebench_003::wrong_resource_pointer	1	fixed_rank_archive:hybrid_lexical_rrf:core	released_family_full_pool_recomputed	8048	7354	1	2	1		1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	core::sra_v2_2::bigcodebench_004::wrong_resource_pointer::q1	sra_v2_2::bigcodebench_004::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_004::wrong_resource_pointer::execution_risk	family::sra_v2_2::bigcodebench_004::wrong_resource_pointer	1	fixed_rank_archive:hybrid_lexical_rrf:core	released_family_full_pool_recomputed	8048	7354	1	3	1		1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	core::sra_v2_2::bigcodebench_005::wrong_resource_pointer::q1	sra_v2_2::bigcodebench_005::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_005::wrong_resource_pointer::execution_risk	family::sra_v2_2::bigcodebench_005::wrong_resource_pointer	1	fixed_rank_archive:hybrid_lexical_rrf:core	released_family_full_pool_recomputed	8048	7354	2	1		1	1.0	1.0	0.6309297535714575	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6309297535714575	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6309297535714575	0.0	1.0	0.0	1.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	core::sra_v2_2::bigcodebench_006::wrong_resource_pointer::q1	sra_v2_2::bigcodebench_006::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_006::wrong_resource_pointer::execution_risk	family::sra_v2_2::bigcodebench_006::wrong_resource_pointer	1	fixed_rank_archive:hybrid_lexical_rrf:core	released_family_full_pool_recomputed	8048	7354	3	4	2		1.0	0.0	0.5	1.0	0.0	0.6309297535714575	1.0	1.0	1.0	1.0	0.5	1.0	0.0	0.6309297535714575	1.0	1.0	1.0	1.0	0.5	1.0	0.0	0.6309297535714575	1.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	core::sra_v2_2::bigcodebench_007::wrong_resource_pointer::q1	sra_v2_2::bigcodebench_007::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_007::wrong_resource_pointer::execution_risk	family::sra_v2_2::bigcodebench_007::wrong_resource_pointer	1	fixed_rank_archive:hybrid_lexical_rrf:core	released_family_full_pool_recomputed	8048	7354	1	2	1		1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	core::sra_v2_2::bigcodebench_008::wrong_resource_pointer::q1	sra_v2_2::bigcodebench_008::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_008::wrong_resource_pointer::execution_risk	family::sra_v2_2::bigcodebench_008::wrong_resource_pointer	1	fixed_rank_archive:hybrid_lexical_rrf:core	released_family_full_pool_recomputed	8048	7354	2	1		1	1.0	1.0	0.6309297535714575	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6309297535714575	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6309297535714575	0.0	1.0	0.0	1.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	core::sra_v2_2::bigcodebench_009::wrong_resource_pointer::q1	sra_v2_2::bigcodebench_009::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_009::wrong_resource_pointer::execution_risk	family::sra_v2_2::bigcodebench_009::wrong_resource_pointer	1	fixed_rank_archive:hybrid_lexical_rrf:core	released_family_full_pool_recomputed	8048	7354	1	2	1		1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	core::sra_v2_2::bigcodebench_010::wrong_resource_pointer::q1	sra_v2_2::bigcodebench_010::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_010::wrong_resource_pointer::execution_risk	family::sra_v2_2::bigcodebench_010::wrong_resource_pointer	1	fixed_rank_archive:hybrid_lexical_rrf:core	released_family_full_pool_recomputed	8048	7354	1	2	1		1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	core::sra_v2_2::bigcodebench_011::wrong_resource_pointer::q1	sra_v2_2::bigcodebench_011::wrong_resource_pointer::helpful	sra_v2_2::bigcodebench_011::wrong_resource_pointer::execution_risk	family::sra_v2_2::bigcodebench_011::wrong_resource_pointer	1	fixed_rank_archive:hybrid_lexical_rrf:core	released_family_full_pool_recomputed	8048	7354	4	3		2	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.43067655807339306	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.43067655807339306	0.0	1.0	0.0	1.0	1.0
