stratum	domain	query_cases
core_marked_sibling	bigcodebench	135
core_marked_sibling	champ	89
core_marked_sibling	logicbench	19
core_marked_sibling	medcalcbench	55
core_marked_sibling	skillsbench	31
core_marked_sibling	swe_skills_bench	33
core_marked_sibling	theoremqa	318
core_marked_sibling	toolqa	14
hard_role_flip	API integration	18
hard_role_flip	API integration debugging	2
hard_role_flip	CI log analysis	2
hard_role_flip	HR compensation review	20
hard_role_flip	IoT sensor calibration	20
hard_role_flip	Kubernetes rollout	18
hard_role_flip	Kubernetes rollout diagnosis	2
hard_role_flip	Three.js object export	2
hard_role_flip	Three.js structure parsing	2
hard_role_flip	academic manuscript screening	18
hard_role_flip	ad campaign analysis	18
hard_role_flip	ad campaign performance analysis	2
hard_role_flip	airline disruption handling	18
hard_role_flip	building maintenance planning	18
hard_role_flip	call center quality audit	20
hard_role_flip	clinical cohort extraction	20
hard_role_flip	cloud cost analysis	20
hard_role_flip	code review triage	20
hard_role_flip	content taxonomy mapping	20
hard_role_flip	court form filling	2
hard_role_flip	crystallographic Wyckoff analysis	2
hard_role_flip	customer support routing	20
hard_role_flip	data quality incident	20
hard_role_flip	database migration	18
hard_role_flip	database migration review	2
hard_role_flip	education rubric scoring	20
hard_role_flip	email campaign QA	20
hard_role_flip	energy usage analysis	20
hard_role_flip	enterprise information search	2
hard_role_flip	environmental permit review	20
hard_role_flip	financial statement audit	20
hard_role_flip	flood-risk analysis	2
hard_role_flip	fraud investigation	18
hard_role_flip	geospatial address matching	20
hard_role_flip	incident response handoff	18
hard_role_flip	insurance claim triage	20
hard_role_flip	intrusion detection	2
hard_role_flip	lab instrument run review	18
hard_role_flip	legal discovery review	20
hard_role_flip	loan underwriting	18
hard_role_flip	logistics route planning	20
hard_role_flip	manufacturing defect analysis	20
hard_role_flip	market research coding	20
hard_role_flip	medical claims coding	18
hard_role_flip	mobile crash triage	20
hard_role_flip	network capacity planning	20
hard_role_flip	privacy data request handling	2
hard_role_flip	privacy request handling	18
hard_role_flip	procurement bid comparison	20
hard_role_flip	product analytics funnel	20
hard_role_flip	repository dependency review	20
hard_role_flip	restaurant menu analytics	16
hard_role_flip	retail assortment planning	18
hard_role_flip	robot task replay	20
hard_role_flip	sales pipeline inspection	18
hard_role_flip	scientific figure reproduction	20
hard_role_flip	search relevance evaluation	20
hard_role_flip	security access review	20
hard_role_flip	subscription churn analysis	20
hard_role_flip	survey response analysis	20
hard_role_flip	translation memory maintenance	20
hard_role_flip	video moderation review	20
hard_role_flip	warehouse inventory reconciliation	2
hard_role_flip	warehouse reconciliation	18
