method_id	method_label	stratum	n	selector_mode	pressure_at_3_before	pressure_at_3_after	pressure_at_5_before	pressure_at_5_after	interpretation
hybrid_lexical_rrf	Hybrid lexical RRF	core	694	released_family_full_pool_recomputed	0.779539	0.829971	0.864553	0.878963	candidate from a released multi-member family appears in top-K but is not the marked helpful/risky sibling for this query; not a risk label
hybrid_lexical_rrf	Hybrid lexical RRF	hard	992	released_family_full_pool_recorded	1	1	1	1	candidate from a released multi-member family appears in top-K but is not the marked helpful/risky sibling for this query; not a risk label
hybrid_lexical_rrf	Hybrid lexical RRF	merged	1686	released_family_recomputed_core_recorded_hard	0.909253	0.930012	0.944247	0.950178	candidate from a released multi-member family appears in top-K but is not the marked helpful/risky sibling for this query; not a risk label
r3_skill_embedding_reranker	R3-Skill	core	694	released_family_top20_bounded	0.893372	0.93804	0.959654	0.962536	candidate from a released multi-member family appears in top-K but is not the marked helpful/risky sibling for this query; not a risk label
r3_skill_embedding_reranker	R3-Skill	hard	992	released_family_top20_bounded	1	1	1	1	candidate from a released multi-member family appears in top-K but is not the marked helpful/risky sibling for this query; not a risk label
r3_skill_embedding_reranker	R3-Skill	merged	1686	released_family_top20_bounded	0.956109	0.974496	0.983393	0.984579	candidate from a released multi-member family appears in top-K but is not the marked helpful/risky sibling for this query; not a risk label
skillret_embedding_0_6b	SkillRet	core	694	released_family_top20_bounded	0.829971	0.899135	0.929395	0.939481	candidate from a released multi-member family appears in top-K but is not the marked helpful/risky sibling for this query; not a risk label
skillret_embedding_0_6b	SkillRet	hard	992	released_family_top20_bounded	1	1	1	1	candidate from a released multi-member family appears in top-K but is not the marked helpful/risky sibling for this query; not a risk label
skillret_embedding_0_6b	SkillRet	merged	1686	released_family_top20_bounded	0.930012	0.958481	0.970937	0.975089	candidate from a released multi-member family appears in top-K but is not the marked helpful/risky sibling for this query; not a risk label
skillrouter_official	SkillRouter	core	694	released_family_top20_bounded	0.808357	0.871758	0.90634	0.916427	candidate from a released multi-member family appears in top-K but is not the marked helpful/risky sibling for this query; not a risk label
skillrouter_official	SkillRouter	hard	992	released_family_top20_bounded	1	1	1	1	candidate from a released multi-member family appears in top-K but is not the marked helpful/risky sibling for this query; not a risk label
skillrouter_official	SkillRouter	merged	1686	released_family_top20_bounded	0.921115	0.947212	0.961447	0.965599	candidate from a released multi-member family appears in top-K but is not the marked helpful/risky sibling for this query; not a risk label
