method_id	method_label	stratum	resolver	n	bounded_top20	recall_at_3_before	recall_at_3_after	hsr_at_3_before	hsr_at_3_after	ndcg_at_3_before	ndcg_at_3_after	cleanhit_at_3_before	cleanhit_at_3_after	recall_at_5_before	recall_at_5_after	hsr_at_5_before	hsr_at_5_after	ndcg_at_5_before	ndcg_at_5_after	cleanhit_at_5_before	cleanhit_at_5_after
hybrid_lexical_rrf	Hybrid lexical RRF	core	metadata_title	694	0	0.628242	0.377522	0.639769	0.34438	0.498365	0.347913	0.067723	0.377522	0.716138	0.393372	0.726225	0.365994	0.535209	0.354424	0.018732	0.393372
hybrid_lexical_rrf	Hybrid lexical RRF	core	text_cluster	694	0	0.628242	0.370317	0.639769	0.340058	0.498365	0.343556	0.067723	0.370317	0.716138	0.394813	0.726225	0.365994	0.535209	0.353601	0.018732	0.394813
hybrid_lexical_rrf	Hybrid lexical RRF	hard	metadata_title	992	0	0.826613	0.826613	0.097782	0.097782	0.786901	0.786901	0.735887	0.735887	0.88004	0.88004	0.262097	0.262097	0.808585	0.808585	0.636089	0.636089
hybrid_lexical_rrf	Hybrid lexical RRF	hard	text_cluster	992	0	0.826613	0.896169	0.097782	0.019153	0.786901	0.831974	0.735887	0.882056	0.88004	0.903226	0.262097	0.041331	0.808585	0.83488	0.636089	0.877016
r3_skill_embedding_reranker	R3-Skill	core	metadata_title	694	1	0.778098	0.448127	0.770893	0.393372	0.631477	0.427816	0.048991	0.448127	0.82853	0.459654	0.827089	0.40634	0.652691	0.432654	0.025937	0.459654
r3_skill_embedding_reranker	R3-Skill	core	text_cluster	694	1	0.778098	0.436599	0.770893	0.383285	0.631477	0.421109	0.048991	0.436599	0.82853	0.45245	0.827089	0.399135	0.652691	0.427935	0.025937	0.45245
r3_skill_embedding_reranker	R3-Skill	hard	metadata_title	992	1	0.965726	0.965726	0.09375	0.09375	0.917625	0.917625	0.871976	0.871976	0.990927	0.990927	0.160282	0.160282	0.928125	0.928125	0.831653	0.831653
r3_skill_embedding_reranker	R3-Skill	hard	text_cluster	992	1	0.965726	0.967742	0.09375	0.038306	0.917625	0.919161	0.871976	0.930444	0.990927	0.985887	0.160282	0.049395	0.928125	0.926799	0.831653	0.9375
skillret_embedding_0_6b	SkillRet	core	metadata_title	694	1	0.766571	0.528818	0.736311	0.289625	0.639369	0.494458	0.056196	0.528818	0.827089	0.54611	0.801153	0.305476	0.664233	0.501652	0.034582	0.54611
skillret_embedding_0_6b	SkillRet	core	text_cluster	694	1	0.766571	0.523055	0.736311	0.288184	0.639369	0.490444	0.056196	0.523055	0.827089	0.550432	0.801153	0.305476	0.664233	0.50173	0.034582	0.550432
skillret_embedding_0_6b	SkillRet	hard	metadata_title	992	1	0.947581	0.947581	0.099798	0.099798	0.898028	0.898028	0.84879	0.84879	0.96875	0.96875	0.179435	0.179435	0.906791	0.906791	0.792339	0.792339
skillret_embedding_0_6b	SkillRet	hard	text_cluster	992	1	0.947581	0.953629	0.099798	0.016129	0.898028	0.903428	0.84879	0.944556	0.96875	0.964718	0.179435	0.023185	0.906791	0.908115	0.792339	0.949597
skillrouter_official	SkillRouter	core	metadata_title	694	1	0.658501	0.327089	0.690202	0.407781	0.518896	0.31244	0.030259	0.327089	0.706052	0.341499	0.729107	0.423631	0.538491	0.318329	0.030259	0.341499
skillrouter_official	SkillRouter	core	text_cluster	694	1	0.658501	0.325648	0.690202	0.403458	0.518896	0.311908	0.030259	0.325648	0.706052	0.340058	0.729107	0.417867	0.538491	0.317861	0.030259	0.340058
skillrouter_official	SkillRouter	hard	metadata_title	992	1	0.979839	0.979839	0.104839	0.104839	0.947723	0.947723	0.875	0.875	0.992944	0.992944	0.160282	0.160282	0.95319	0.95319	0.832661	0.832661
skillrouter_official	SkillRouter	hard	text_cluster	992	1	0.979839	0.983871	0.104839	0.027218	0.947723	0.951587	0.875	0.957661	0.992944	0.985887	0.160282	0.03629	0.95319	0.952411	0.832661	0.950605
hybrid_lexical_rrf	Hybrid lexical RRF	merged	metadata_title	1686	0	0.744959	0.641756	0.320877	0.199288	0.668132	0.606202	0.460854	0.588375	0.812574	0.679715	0.453144	0.304864	0.696057	0.621641	0.381969	0.536181
hybrid_lexical_rrf	Hybrid lexical RRF	merged	text_cluster	1686	0	0.744959	0.679715	0.320877	0.151246	0.668132	0.630929	0.460854	0.671411	0.812574	0.69395	0.453144	0.17497	0.696057	0.636773	0.381969	0.678529
r3_skill_embedding_reranker	R3-Skill	merged	metadata_title	1686	1	0.888494	0.752669	0.372479	0.217082	0.799839	0.716007	0.533215	0.697509	0.92408	0.772242	0.434757	0.261566	0.814749	0.724177	0.5	0.678529
r3_skill_embedding_reranker	R3-Skill	merged	text_cluster	1686	1	0.888494	0.74911	0.372479	0.180308	0.799839	0.71415	0.533215	0.727165	0.92408	0.766311	0.434757	0.193357	0.814749	0.721454	0.5	0.737841
skillret_embedding_0_6b	SkillRet	merged	metadata_title	1686	1	0.873073	0.775208	0.361803	0.177936	0.791557	0.731908	0.522538	0.717081	0.910439	0.794781	0.43535	0.231317	0.806948	0.740026	0.480427	0.690985
skillret_embedding_0_6b	SkillRet	merged	text_cluster	1686	1	0.873073	0.776394	0.361803	0.128114	0.791557	0.733433	0.522538	0.771056	0.910439	0.794187	0.43535	0.139383	0.806948	0.740837	0.480427	0.785291
skillrouter_official	SkillRouter	merged	metadata_title	1686	1	0.847568	0.711151	0.345789	0.229538	0.771207	0.686225	0.527283	0.649466	0.874852	0.724793	0.394425	0.268683	0.782489	0.691865	0.502372	0.630486
skillrouter_official	SkillRouter	merged	text_cluster	1686	1	0.847568	0.71293	0.345789	0.182088	0.771207	0.688279	0.527283	0.697509	0.874852	0.720048	0.394425	0.193357	0.782489	0.691214	0.502372	0.699289
