candidate_id	oracle_id	provenance_surface	domain	pattern_signature	query_1_expected_side	query_2_expected_side	query_1_target_mode	query_2_target_mode	skill_A_title	skill_B_title	skill_A_chars	skill_B_chars	length_ratio_max_over_min	heading_parity	title_purpose_static_cue_asymmetry	annotation_leak_terms	query_1_exact_title_anchor_A	query_1_exact_title_anchor_B	query_2_exact_title_anchor_A	query_2_exact_title_anchor_B	query_1_anchor_jaccard_A	query_1_anchor_jaccard_B	query_2_anchor_jaccard_A	query_2_anchor_jaccard_B	skill_A_sha256	skill_B_sha256	query_1_sha256	query_2_sha256
hard_role_flip_001	hard_oracle_initial_03r_01	early_hard_candidates	crystallographic Wyckoff analysis	human reviewed crystallographic report || symmetry dataset returned by the parser	A	B	symmetry dataset returned by the parser	human reviewed crystallographic report	Crystallographic Wyckoff Analysis - Symmetry Dataset Returned By The Parser Workflow	Crystallographic Wyckoff Analysis - Human-Reviewed Crystallographic Report Workflow	585	581	1.0069	yes			0	0	0	0	0.129	0.0303	0.0769	0.08	607a4243caede769d19572a434fc93a771a3f5abd4ac26243b5d0017cf9826da	f797627aea97090595b34b8299afd36bd269d37992a67d05060509797c588775	c19cd1e655f130b94e3cc85304f79207d4cfca67a6ad4aac568fa2785a1703ee	865568b3e4c57e6bbe86a91ce04747e672732e688f852ffba3df19162edd5968
hard_role_flip_002	hard_oracle_initial_03r_02	early_hard_candidates	Three.js structure parsing	rendering loader output || source asset tree	B	A	source asset tree	rendering loader output	Three.Js Structure Parsing - Rendering Loader Output Workflow	Three.Js Structure Parsing - Source Asset Tree Workflow	516	492	1.0488	yes			0	0	0	0	0.1154	0.1154	0.1304	0.0	e526b92a62df1755b1163e11ca85c70f96cee2be294937720b6b196e3c4d4920	04c4811f37d91609e8294d368facd7decb303e2c4289efdc4fa0100cda5bf063	49b77804f27336df1c333520f046676b3247a026ee814eb3aea8347a06a418de	f7aa4b4715204765e7d05065f25b0b0f3a885ff1a2f77a260fdef4bd65e697d1
hard_role_flip_003	hard_oracle_initial_03r_03	early_hard_candidates	Three.js object export	browser native asset bundle || obj export artifact	A	B	obj export artifact	browser native asset bundle	Three.Js Object Export - Obj Export Artifact Workflow	Three.Js Object Export - Browser-Native Asset Bundle Workflow	488	520	1.0656	yes			0	0	0	0	0.0909	0.0	0.0556	0.0526	87d32b65eed2e2dc09880e0d33e05cb10a2531d9f72d9197b6950928ce02a647	21c6e297b1b6105ca226f6a1963738ee124a73c091641ff511d240df453390f7	dc74380e214df142ede12e013fb396d283f87c4e8b0dd340f28c5fd6c731f025	30f9026c654b548875311b41ec021aefbe1ceca877c2ce6baba5dedcbb1de8fc
hard_role_flip_004	hard_oracle_initial_03r_04	early_hard_candidates	flood-risk analysis	local elevation and drainage inputs || published regional exposure layers	B	A	local elevation and drainage inputs	published regional exposure layers	Flood-Risk Analysis - Published Regional Exposure Layers Workflow	Flood-Risk Analysis - Local Elevation And Drainage Inputs Workflow	540	544	1.0074	yes			0	0	0	0	0.0417	0.1304	0.1765	0.0	fba618df7307a100647835010a17538183e83f4d85779764ded10e534846d8eb	d0bb88236a69e1f6c7bfb287a951f5ebdf9fbba69536fe42b10c230682ee147e	a3816819915ae869565fd7188ba55f021dcdfaac926635e04ebed5b055697a69	231427cd35072eb42c8279b72cc24317c56dbdd9ea1ff37b5b9cdf10538c14b2
hard_role_flip_005	hard_oracle_initial_03r_06	early_hard_candidates	court form filling	jurisdiction specific form packet || procedural filing checklist	B	A	jurisdiction specific form packet	procedural filing checklist	Court Form Filling - Procedural Filing Checklist Workflow	Court Form Filling - Jurisdiction-Specific Form Packet Workflow	502	526	1.0478	yes			0	0	0	0	0.0455	0.1429	0.1875	0.0	a1857b75f5ab5e44fa9af48d2730f591f8398492f5879721faeb3831e10b9de2	313b35c0e1df6e745f85272cb02be2f819bd9b22a39bccc6b8e3d8dd88fdf7f3	62b171e5d46b623b3a96560f1e5b8f1a07df0648df8bd155039f0a485984669f	317817602faa1d0e7e2a035fb4142aecc972d1d9eec921846b9710bdbf9db513
hard_role_flip_006	hard_oracle_initial_03r_10	early_hard_candidates	CI log analysis	ci log artifact || test history ledger	B	A	ci log artifact	test history ledger	Ci Log Analysis - Test-History Ledger Workflow	Ci Log Analysis - Ci Log Artifact Workflow	460	444	1.036	yes			0	0	0	0	0.0	0.1538	0.1053	0.0	86df7112ea97c77fefb47cd7fdc6937afc6f94cd36fcbf80f62bdea0b1bc8fc2	6bf59d2621012f3b041f10a4de9765a29cd73c14b1359dec5fc6d4ea721e244d	ea15be7c9651799adf56dcd6cb7c2cc0ef07b84b0a4280e5c1dfed86297c89b4	acbfc455eb31e6b17729319a8e075091d3f8f0960a8522662b8651fbbaf28e4f
hard_role_flip_007	hard_oracle_initial_04_04_rev1	early_hard_candidates	intrusion detection	alert triage taxonomy || detector feature schema	A	B	detector feature schema	alert triage taxonomy	Intrusion Detection - Detector Feature Schema Workflow	Intrusion Detection - Alert-Triage Taxonomy Workflow	505	497	1.0161	yes			0	0	0	0	0.0385	0.0	0.0	0.0476	55ba8eb542ccdf0e4328be73c3ade74c11d0be419ac9fbf6f4fe0a5377c84cbe	c5d4acffcb322e583fd6a41293b49226bfd7468ba2b2b14be938f6e7b0e9dc3a	e1ec193e1f006c38fd182c2c9b79413fd1717f2a3d0469ae5b2029a37c6e9f26	9176a1dd6d2ca6681421646f67e933a68e69158343ae441aeaa830f3e6471c0a
hard_role_flip_008	hard_oracle_initial_04_07_rev1	early_hard_candidates	enterprise information search	knowledge base index || policy document index	B	A	knowledge base index	policy document index	Enterprise Information Search - Policy Document Index Workflow	Enterprise Information Search - Knowledge-Base Index Workflow	512	508	1.0079	yes			0	0	0	0	0.0	0.0	0.0	0.0	6ee07ea9f3d293fa5ceb36095f62bddcfe79060e33b076c2517bd9e9f2640d76	3aa78e7613826054e92ea800e837ea99bc230482c4d3c60d7b87c64170d48b4a	7fd0f3d9c90971270de3667009735769fb9a031183a3521699447ee66f6fac79	fe7b770f713adb59cb61ebcade0d7de6cd73ee14f18813879ddcd4424881aca5
hard_role_flip_009	hard_oracle_initial_bulk_001	early_hard_candidates	Kubernetes rollout diagnosis	deployment event stream mode || service mesh trace sample mode	A	B	deployment event stream mode	service mesh trace sample mode	Kubernetes Rollout Diagnosis - Deployment Event Stream Mode	Kubernetes Rollout Diagnosis - Service-Mesh Trace Sample Mode	542	550	1.0148	yes			0	0	0	0	0.0435	0.0	0.0	0.0	7d9ca5f15d9b2c38441a019b558fa15b13e80b17ae68fec49c21975e69c39d6a	e79f6fa972bc737a0b3816f39cc3a4da5d3ce83220cd64c29c27d3ae81fbb32b	ec5de7b7422e11617963b4752525aea13fbd409969ec47f91c2b058f553548e1	415a21f78747e8515160a2466f66c762449522c30a0f126ce31b6f230e0a1219
hard_role_flip_010	hard_oracle_initial_bulk_002	early_hard_candidates	API integration debugging	openapi contract mode || production api call log mode	B	A	openapi contract mode	production api call log mode	Api Integration Debugging - Production Api Call Log Mode	Api Integration Debugging - Openapi Contract Mode	556	528	1.053	yes			0	0	0	0	0.0	0.0556	0.0476	0.0	42e64c2f4ccb4ee728c3cfc31a019db48d00cbf9600d92de5c81ab32027aa220	58b1832889cd20563dc17a1f952d83ddecad411902765fc9200f18736c0dd9b6	ef5d0e984c768bf5864475bdb3160730c675b5184eac66992d437b32f8e1185b	315ef5a57c8d36bf77df6e74638ea9685edcc9184390e9df5ebc9e69d629e91f
hard_role_flip_011	hard_oracle_initial_bulk_003	early_hard_candidates	database migration review	schema migration files mode || slow query log mode	A	B	schema migration files mode	slow query log mode	Database Migration Review - Schema Migration Files Mode	Database Migration Review - Slow-Query Log Mode	532	500	1.064	yes			0	0	0	0	0.125	0.0	0.0	0.1765	0c9f40f6831e135679e38ee78a209d8d924c5e6b401ec200e1485a23b6c3c246	55bbab3858d8f515401310c4670469954df6f180cb00e1e89e3123fca239be85	275c2984c23abdb4106c2b781f293d54a3a34a746f55bb9cb89527339fd3df08	938da6597bfdccdf6e8da39b770af2cd85201eab22493c5cbb6f40c070e287a4
hard_role_flip_012	hard_oracle_initial_bulk_004	early_hard_candidates	mobile crash triage	crash stack collection mode || mobile release note mode	B	A	crash stack collection mode	mobile release note mode	Mobile Crash Triage - Mobile Release Note Mode	Mobile Crash Triage - Crash Stack Collection Mode	507	519	1.0237	yes			0	0	0	0	0.0	0.1111	0.0952	0.0	15f55580b37bc062494a2ff062da628aee294906069c69873c52423181363fe6	828e76f0cbe5cb1f0448eb09cbaff7b842f9940152cce2a133234b1335f2692e	cc100c3f2d3026214bf50a77b5862a3e4a0863c2271a6b87a0f374c728fac2f8	0109b6ccbc0903de18805589e9fd5308642da7c4bdbc6aa0a9f4fd82c3bb5d1a
hard_role_flip_013	hard_oracle_initial_bulk_005	early_hard_candidates	privacy data request handling	account export table mode || data retention policy mode	A	B	account export table mode	data retention policy mode	Privacy Data Request Handling - Account Export Table Mode	Privacy Data Request Handling - Data-Retention Policy Mode	539	543	1.0074	yes			0	0	0	0	0.1053	0.05	0.0	0.0625	66a0a5e528e9d6b81462ddcb305471fcd6d017ab1e3d1739813d07c34142e968	39f89f589a2083da006dc7f66fcc2cdc79d48df29383314e6844ed0b424a9cf0	9c229d554b2898cfd931690bffd9c8af5a1fa224476063cc5c02d270a3de5f48	30ed03b8327e46aa7e9f879ddbc96d79414dd87f0d33e00f283542d1a25aca6f
