method_id	method_label	stratum	selector_mode	n	target_family_match_rate	recall_at_3_before	recall_at_3_after	hsr_at_3_before	hsr_at_3_after	ndcg_at_3_before	ndcg_at_3_after	unmarked_same_family_pressure_at_3_before	unmarked_same_family_pressure_at_3_after	recall_at_5_before	recall_at_5_after	hsr_at_5_before	hsr_at_5_after	ndcg_at_5_before	ndcg_at_5_after	unmarked_same_family_pressure_at_5_before	unmarked_same_family_pressure_at_5_after	recall_at_20_before	recall_at_20_after	hsr_at_20_before	hsr_at_20_after	ndcg_at_20_before	ndcg_at_20_after	unmarked_same_family_pressure_at_20_before	unmarked_same_family_pressure_at_20_after
hybrid_lexical_rrf	Hybrid lexical RRF	core	released_family_full_pool_recomputed	694	1	0.628242	0.378963	0.639769	0.353026	0.498365	0.349011	0.779539	0.829971	0.716138	0.40634	0.726225	0.381844	0.535209	0.360233	0.864553	0.878963	0.877522	0.465418	0.876081	0.443804	0.582141	0.37776	0.955331	0.956772
hybrid_lexical_rrf	Hybrid lexical RRF	hard	released_family_full_pool_recorded	992	1	0.826613	0.84375	0.097782	0.020161	0.786901	0.795865	1	1	0.88004	0.917339	0.262097	0.029234	0.808585	0.827072	1	1								
hybrid_lexical_rrf	Hybrid lexical RRF	merged	released_family_recomputed_core_recorded_hard	1686	1	0.744959	0.652432	0.320877	0.157177	0.668132	0.611929	0.909253	0.930012	0.812574	0.706999	0.453144	0.174377	0.696057	0.634909	0.944247	0.950178	0.877522	0.465418	0.876081	0.443804	0.582141	0.37776	0.955331	0.956772
r3_skill_embedding_reranker	R3-Skill	core	released_family_top20_bounded	694	1	0.778098	0.449568	0.770893	0.393372	0.631477	0.428725	0.893372	0.93804	0.82853	0.469741	0.827089	0.412104	0.652691	0.437223	0.959654	0.962536	0.913545	0.488473	0.917867	0.43804	0.678243	0.44258	0.98415	0.98415
r3_skill_embedding_reranker	R3-Skill	hard	released_family_top20_bounded	992	1	0.965726	0.966734	0.09375	0.001008	0.917625	0.918261	1	1	0.990927	0.990927	0.160282	0.001008	0.928125	0.928459	1	1	1	0.998992	0.510081	0.001008	0.930837	0.930956	1	1
r3_skill_embedding_reranker	R3-Skill	merged	released_family_top20_bounded	1686	1	0.888494	0.753855	0.372479	0.162515	0.799839	0.716756	0.956109	0.974496	0.92408	0.776394	0.434757	0.170225	0.814749	0.726254	0.983393	0.984579	0.964413	0.78885	0.677936	0.180901	0.826863	0.729928	0.993476	0.993476
skillret_embedding_0_6b	SkillRet	core	released_family_top20_bounded	694	1	0.766571	0.537464	0.736311	0.291066	0.639369	0.498592	0.829971	0.899135	0.827089	0.567723	0.801153	0.311239	0.664233	0.510992	0.929395	0.939481	0.926513	0.595101	0.925072	0.331412	0.69396	0.519634	0.976945	0.976945
skillret_embedding_0_6b	SkillRet	hard	released_family_top20_bounded	992	1	0.947581	0.948589	0.099798	0.00504	0.898028	0.8984	1	1	0.96875	0.971774	0.179435	0.007056	0.906791	0.907943	1	1	0.997984	0.987903	0.809476	0.011089	0.916241	0.913559	1	1
skillret_embedding_0_6b	SkillRet	merged	released_family_top20_bounded	1686	1	0.873073	0.77936	0.361803	0.122775	0.791557	0.733829	0.930012	0.958481	0.910439	0.805456	0.43535	0.132265	0.806948	0.744548	0.970937	0.975089	0.968565	0.826216	0.857058	0.142942	0.824745	0.75141	0.99051	0.99051
skillrouter_official	SkillRouter	core	released_family_top20_bounded	694	1	0.658501	0.329971	0.690202	0.410663	0.518896	0.314446	0.808357	0.871758	0.706052	0.345821	0.729107	0.427954	0.538491	0.32102	0.90634	0.916427	0.778098	0.371758	0.821326	0.462536	0.559237	0.328721	0.976945	0.976945
skillrouter_official	SkillRouter	hard	released_family_top20_bounded	992	1	0.979839	0.986895	0.104839	0.002016	0.947723	0.951383	1	1	0.992944	0.993952	0.160282	0.002016	0.95319	0.954378	1	1	0.998992	0.996976	0.514113	0.002016	0.955031	0.955243	1	1
skillrouter_official	SkillRouter	merged	released_family_top20_bounded	1686	1	0.847568	0.716489	0.345789	0.170225	0.771207	0.689204	0.921115	0.947212	0.874852	0.727165	0.394425	0.177343	0.782489	0.693672	0.961447	0.965599	0.908066	0.739621	0.64057	0.191578	0.792112	0.697351	0.99051	0.99051
