pair_id	query_case_id	stratum	domain	pair_parse_valid	clean_choice_role	clean_outcome	risky_added_choice_role	risky_added_outcome	introduced_marked_risky_choice	clean_selected	risky_added_selected
pair_core_001	core::skillsbench_v2_2::shock-analysis-supply::wrong_resource_pointer::q1	core_marked_sibling	skillsbench	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_002	core::sra_v2_2::theoremqa_309::wrong_precondition::q1	core_marked_sibling	theoremqa	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S2	S1
pair_core_003	core::sra_v2_2::bigcodebench_108::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_004	core::sra_v2_2::bigcodebench_110::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_005	core::sra_v2_2::theoremqa_285::wrong_resource_pointer::q1	core_marked_sibling	theoremqa	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_006	core::sra_v2_2::champ_069::wrong_resource_pointer::q1	core_marked_sibling	champ	1	marked_helpful	pass	unmarked_candidate	unknown	0	S1	S2
pair_core_007	core::sra_v2_2::logicbench_004::wrong_resource_pointer::q1	core_marked_sibling	logicbench	1	unmarked_candidate	unknown	marked_risky	fail	1	S1	S2
pair_core_010	core::sra_v2_2::bigcodebench_057::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_011	core::sra_v2_2::theoremqa_297::wrong_resource_pointer::q1	core_marked_sibling	theoremqa	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_012	core::sra_v2_2::champ_022::wrong_precondition::q1	core_marked_sibling	champ	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_013	core::sra_v2_2::bigcodebench_008::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
