method_id	query_case_id	rank	candidate_id	score	candidate_role
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	1	sra_v2_2::bigcodebench_000::wrong_precondition::helpful	3.840301036834717	helpful
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	2	sra_v2_2::bigcodebench_000::wrong_precondition::execution_risk	3.626842498779297	risk
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	3	sra_v2_2::bigcodebench_017::wrong_precondition::helpful	2.6564085483551025	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	4	sra_v2_2::bigcodebench_017::wrong_precondition::execution_risk	2.418349266052246	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	5	sra_v2_2::bigcodebench_002::wrong_precondition::helpful	1.6027193069458008	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	6	sra_v2_2::bigcodebench_002::wrong_precondition::execution_risk	1.0568403005599976	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	7	sra_v2_2::bigcodebench_054::wrong_resource_pointer::helpful	0.8816815614700317	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	8	sra_v2_2::bigcodebench_001::wrong_resource_pointer::execution_risk	0.6591404676437378	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	9	sra_v2_2::theoremqa_203::wrong_resource_pointer::execution_risk	0.5607030391693115	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	10	sra_v2_2::bigcodebench_054::wrong_resource_pointer::execution_risk	0.538538932800293	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	11	sra_v2_2::bigcodebench_122::wrong_resource_pointer::execution_risk	0.49509721994400024	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	12	sra_v2_2::bigcodebench_122::wrong_resource_pointer::helpful	0.21631956100463867	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	13	sra_v2_2::bigcodebench_070::wrong_resource_pointer::execution_risk	0.1528041809797287	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	14	sra_v2_2::bigcodebench_132::poisoned_procedure_clause::execution_risk	0.011173862963914871	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	15	sra_v2_2::theoremqa_294::wrong_resource_pointer::execution_risk	-0.06582675874233246	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	16	sra_v2_2::bigcodebench_001::wrong_resource_pointer::helpful	-0.11808675527572632	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	17	sra_v2_2::bigcodebench_132::poisoned_procedure_clause::helpful	-0.8158113956451416	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	18	sra_v2_2::theoremqa_294::wrong_resource_pointer::helpful	-1.0396263599395752	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	19	skillret::b18fac05-98c0-4d83-a90d-47e8f8d0a62c	-1.5329744815826416	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	20	skillsbench_v2_2::mars-clouds-clustering::wrong_resource_pointer::execution_risk	-1.6502693891525269	unlabeled_candidate
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_001::wrong_resource_pointer::q1	1	sra_v2_2::bigcodebench_001::wrong_resource_pointer::helpful	4.545018196105957	helpful
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_001::wrong_resource_pointer::q1	2	sra_v2_2::bigcodebench_001::wrong_resource_pointer::execution_risk	4.358030319213867	risk
bge_m3_bge_reranker	core::sra_v2_2::bigcodebench_001::wrong_resource_pointer::q1	3	sra_v2_2::bigcodebench_137::wrong_resource_pointer::helpful	3.8739967346191406	unlabeled_candidate
