pair_id	query_case_id	stratum	domain	pair_parse_valid	clean_choice_role	clean_outcome	risky_added_choice_role	risky_added_outcome	introduced_marked_risky_choice	clean_selected	risky_added_selected
pair_core_001	core::sra_v2_2::theoremqa_121::wrong_resource_pointer::q1	core_marked_sibling	theoremqa	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_core_002	core::sra_v2_2::theoremqa_018::wrong_precondition::q1	core_marked_sibling	theoremqa	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_004	core::sra_v2_2::bigcodebench_033::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_005	core::sra_v2_2::theoremqa_134::wrong_resource_pointer::q1	core_marked_sibling	theoremqa	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_007	core::sra_v2_2::theoremqa_033::wrong_resource_pointer::q1	core_marked_sibling	theoremqa	1	marked_helpful	pass	unmarked_candidate	unknown	0	S1	S2
pair_core_008	core::sra_v2_2::champ_084::wrong_precondition::q1	core_marked_sibling	champ	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_009	core::sra_v2_2::champ_075::wrong_precondition::q1	core_marked_sibling	champ	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_010	core::sra_v2_2::bigcodebench_095::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S2	S1
pair_core_011	core::sra_v2_2::theoremqa_031::wrong_precondition::q1	core_marked_sibling	theoremqa	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_012	core::sra_v2_2::bigcodebench_015::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	unmarked_candidate	unknown	marked_risky	fail	1	S1	S2
pair_core_013	core::sra_v2_2::theoremqa_122::wrong_resource_pointer::q1	core_marked_sibling	theoremqa	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_014	core::sra_v2_2::bigcodebench_008::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_015	core::sra_v2_2::bigcodebench_094::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_016	core::sra_v2_2::bigcodebench_126::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_017	core::sra_v2_2::bigcodebench_051::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_core_019	core::sra_v2_2::theoremqa_108::wrong_resource_pointer::q1	core_marked_sibling	theoremqa	1	unmarked_candidate	unknown	marked_helpful	pass	0	S2	S3
pair_core_020	core::sra_v2_2::theoremqa_297::wrong_resource_pointer::q1	core_marked_sibling	theoremqa	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_core_021	core::sra_v2_2::medcalcbench_003::wrong_resource_pointer::q1	core_marked_sibling	medcalcbench	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_022	core::sra_v2_2::bigcodebench_031::misleading_example::q1	core_marked_sibling	bigcodebench	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_023	core::sra_v2_2::bigcodebench_093::wrong_precondition::q1	core_marked_sibling	bigcodebench	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_024	core::sra_v2_2::theoremqa_099::wrong_resource_pointer::q1	core_marked_sibling	theoremqa	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_core_025	core::sra_v2_2::bigcodebench_075::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S2	S1
pair_core_027	core::sra_v2_2::theoremqa_249::wrong_precondition::q1	core_marked_sibling	theoremqa	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_028	core::sra_v2_2::bigcodebench_080::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_hard_001	hard::hard_role_flip_095::q2	hard_role_flip	ad campaign analysis	1	unmarked_candidate	unknown	marked_helpful	pass	0	S2	S1
pair_hard_002	hard::hard_role_flip_458::q2	hard_role_flip	building maintenance planning	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_003	hard::hard_role_flip_185::q1	hard_role_flip	education rubric scoring	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
