method_id	method_label	stratum	resolver	query_id	helpful_id	risk_id	source_path	bounded_top20	ranked_count	selected_count	helpful_rank_before	risk_rank_before	helpful_rank_after	risk_rank_after	recall_at_3_before	recall_at_3_after	hsr_at_3_before	hsr_at_3_after	ndcg_at_3_before	ndcg_at_3_after	cleanhit_at_3_before	cleanhit_at_3_after	recall_at_5_before	recall_at_5_after	hsr_at_5_before	hsr_at_5_after	ndcg_at_5_before	ndcg_at_5_after	cleanhit_at_5_before	cleanhit_at_5_after
hybrid_lexical_rrf	Hybrid lexical RRF	core	metadata_title	core::skillsbench_v2_2::3d-scan-calc::wrong_resource_pointer::q1	skillsbench_v2_2::3d-scan-calc::wrong_resource_pointer::helpful	skillsbench_v2_2::3d-scan-calc::wrong_resource_pointer::execution_risk	fixed_rank_archive:hybrid_lexical_rrf:core	0	8048	1445	2	1		1	1.0	0.0	1.0	1.0	0.6309297535714575	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.6309297535714575	0.0	0.0	0.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	metadata_title	core::skillsbench_v2_2::ada-bathroom-plan-repair::wrong_resource_pointer::q1	skillsbench_v2_2::ada-bathroom-plan-repair::wrong_resource_pointer::helpful	skillsbench_v2_2::ada-bathroom-plan-repair::wrong_resource_pointer::execution_risk	fixed_rank_archive:hybrid_lexical_rrf:core	0	8048	1445	2	1		1	1.0	0.0	1.0	1.0	0.6309297535714575	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.6309297535714575	0.0	0.0	0.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	metadata_title	core::skillsbench_v2_2::civ6-adjacency-optimizer::wrong_resource_pointer::q1	skillsbench_v2_2::civ6-adjacency-optimizer::wrong_resource_pointer::helpful	skillsbench_v2_2::civ6-adjacency-optimizer::wrong_resource_pointer::execution_risk	fixed_rank_archive:hybrid_lexical_rrf:core	0	8048	1445	2	1		1	1.0	0.0	1.0	1.0	0.6309297535714575	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.6309297535714575	0.0	0.0	0.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	metadata_title	core::skillsbench_v2_2::court-form-filling::wrong_resource_pointer::q1	skillsbench_v2_2::court-form-filling::wrong_resource_pointer::helpful	skillsbench_v2_2::court-form-filling::wrong_resource_pointer::execution_risk	fixed_rank_archive:hybrid_lexical_rrf:core	0	8048	1445	95	93		63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	metadata_title	core::skillsbench_v2_2::crystallographic-wyckoff-position-analysis::stale_api_reference::q1	skillsbench_v2_2::crystallographic-wyckoff-position-analysis::stale_api_reference::helpful	skillsbench_v2_2::crystallographic-wyckoff-position-analysis::stale_api_reference::execution_risk	fixed_rank_archive:hybrid_lexical_rrf:core	0	8048	1445	2	3	2		1.0	1.0	1.0	0.0	0.6309297535714575	0.6309297535714575	0.0	1.0	1.0	1.0	1.0	0.0	0.6309297535714575	0.6309297535714575	0.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	metadata_title	core::skillsbench_v2_2::dapt-intrusion-detection::wrong_resource_pointer::q1	skillsbench_v2_2::dapt-intrusion-detection::wrong_resource_pointer::helpful	skillsbench_v2_2::dapt-intrusion-detection::wrong_resource_pointer::execution_risk	fixed_rank_archive:hybrid_lexical_rrf:core	0	8048	1445	2	1		1	1.0	0.0	1.0	1.0	0.6309297535714575	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.6309297535714575	0.0	0.0	0.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	metadata_title	core::skillsbench_v2_2::econ-detrending-correlation::wrong_resource_pointer::q1	skillsbench_v2_2::econ-detrending-correlation::wrong_resource_pointer::helpful	skillsbench_v2_2::econ-detrending-correlation::wrong_resource_pointer::execution_risk	fixed_rank_archive:hybrid_lexical_rrf:core	0	8048	1445	2	1		1	1.0	0.0	1.0	1.0	0.6309297535714575	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.6309297535714575	0.0	0.0	0.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	metadata_title	core::skillsbench_v2_2::edit-pdf::wrong_resource_pointer::q1	skillsbench_v2_2::edit-pdf::wrong_resource_pointer::helpful	skillsbench_v2_2::edit-pdf::wrong_resource_pointer::execution_risk	fixed_rank_archive:hybrid_lexical_rrf:core	0	8048	1445	3	2		2	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	metadata_title	core::skillsbench_v2_2::enterprise-information-search::wrong_resource_pointer::q1	skillsbench_v2_2::enterprise-information-search::wrong_resource_pointer::helpful	skillsbench_v2_2::enterprise-information-search::wrong_resource_pointer::execution_risk	fixed_rank_archive:hybrid_lexical_rrf:core	0	8048	1445	20	21	15		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	metadata_title	core::skillsbench_v2_2::exceltable-in-ppt::wrong_resource_pointer::q1	skillsbench_v2_2::exceltable-in-ppt::wrong_resource_pointer::helpful	skillsbench_v2_2::exceltable-in-ppt::wrong_resource_pointer::execution_risk	fixed_rank_archive:hybrid_lexical_rrf:core	0	8048	1445	2	3	2		1.0	1.0	1.0	0.0	0.6309297535714575	0.6309297535714575	0.0	1.0	1.0	1.0	1.0	0.0	0.6309297535714575	0.6309297535714575	0.0	1.0
hybrid_lexical_rrf	Hybrid lexical RRF	core	metadata_title	core::skillsbench_v2_2::financial-modeling-qa::wrong_resource_pointer::q1	skillsbench_v2_2::financial-modeling-qa::wrong_resource_pointer::helpful	skillsbench_v2_2::financial-modeling-qa::wrong_resource_pointer::execution_risk	fixed_rank_archive:hybrid_lexical_rrf:core	0	8048	1445	236	237	97		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
