stratum	method_id	label	n	recall_at_3	ndcg_at_3	hsr_at_3	cleanhit_at_3	recall_at_5	ndcg_at_5	hsr_at_5	cleanhit_at_5	recall_at_20	ndcg_at_20	hsr_at_20	cleanhit_at_20
core_marked_sibling	hybrid_lexical_rrf	Hybrid lexical RRF	694	0.628242	0.498365	0.639769	0.067723	0.716138	0.535209	0.726225	0.018732	0.877522	0.582141	0.876081	0.005764
hard_role_flip	hybrid_lexical_rrf	Hybrid lexical RRF	992	0.826613	0.786901	0.097782	0.735887	0.880040	0.808585	0.262097	0.636089	0.992944	0.843387	0.944556	0.051411
merged	hybrid_lexical_rrf	Hybrid lexical RRF	1686	0.744958	0.668132	0.320878	0.460854	0.812574	0.696057	0.453144	0.381969	0.945433	0.735852	0.916370	0.032622
core_marked_sibling	skillrouter_official	SkillRouter	694	0.658501	0.518896	0.690202	0.030259	0.706052	0.538491	0.729107	0.030259	0.778098	0.559237	0.821326	0.012968
hard_role_flip	skillrouter_official	SkillRouter	992	0.979839	0.947723	0.104839	0.875000	0.992944	0.953190	0.160282	0.832661	0.998992	0.955031	0.514113	0.484879
merged	skillrouter_official	SkillRouter	1686	0.847568	0.771207	0.345789	0.527284	0.874852	0.782490	0.394425	0.502372	0.908066	0.792112	0.640569	0.290629
core_marked_sibling	skillret_embedding_0_6b	SkillRet	694	0.766571	0.639369	0.736311	0.056196	0.827089	0.664233	0.801153	0.034582	0.926513	0.693960	0.925072	0.001441
hard_role_flip	skillret_embedding_0_6b	SkillRet	992	0.947581	0.898028	0.099798	0.848790	0.968750	0.906791	0.179435	0.792339	0.997984	0.916241	0.809476	0.189516
merged	skillret_embedding_0_6b	SkillRet	1686	0.873072	0.791557	0.361803	0.522539	0.910439	0.806948	0.435350	0.480427	0.968565	0.824744	0.857058	0.112100
core_marked_sibling	r3_skill_embedding_reranker	R3-Skill	694	0.778098	0.631477	0.770893	0.048991	0.828530	0.652691	0.827089	0.025937	0.913545	0.678243	0.917867	0.008646
hard_role_flip	r3_skill_embedding_reranker	R3-Skill	992	0.965726	0.917625	0.093750	0.871976	0.990927	0.928125	0.160282	0.831653	1.000000	0.930837	0.510081	0.489919
merged	r3_skill_embedding_reranker	R3-Skill	1686	0.888493	0.799839	0.372479	0.533215	0.924081	0.814750	0.434757	0.500000	0.964413	0.826863	0.677936	0.291815
core_marked_sibling	controlled_reference	Reference pipeline	694	0.752161	0.677917	0.001441	0.752161	0.801153	0.697880	0.001441	0.801153	0.906340	0.729555	0.001441	0.906340
hard_role_flip	controlled_reference	Reference pipeline	992	0.890121	0.828531	0.011089	0.890121	0.910282	0.837214	0.032258	0.910282	0.924395	0.841512	0.069556	0.924395
merged	controlled_reference	Reference pipeline	1686	0.833333	0.766534	0.007117	0.833333	0.865362	0.779860	0.019573	0.865362	0.916963	0.795428	0.041518	0.916963
core_marked_sibling	reference_no_selector	No selector	694	0.7536023054755043	0.6782601163956399	0.24063400576368876		0.7939481268011528	0.6948152098612739	0.3659942363112392		0.9048991354466859	0.7283029321840382	0.6296829971181557	
hard_role_flip	reference_no_selector	No selector	992	0.8870967741935484	0.8271504058935796	0.07358870967741936		0.90625	0.8350016567462457	0.20766129032258066		0.9919354838709677	0.8603804471320524	0.8407258064516129	
merged	reference_no_selector	No selector	1686	0.83214709371293	0.765863418401546	0.1423487544483986		0.8600237247924081	0.7772973897603805	0.27283511269276395		0.9561091340450771	0.8060140204571302	0.7538552787663108	
