analysis_id	left_out_core_domain	excluded_cases	method_id	included_cases	recall_at_3	hsr_at_3	cleanhit_at_3	recall_at_5	hsr_at_5	cleanhit_at_5	recall_at_20	hsr_at_20	cleanhit_at_20
merged_all		0	hybrid_lexical_rrf	1686	0.744958	0.320878	0.460854	0.812574	0.453144	0.381969	0.945433	0.916370	0.032622
core_all		0	hybrid_lexical_rrf	694	0.628242	0.639769	0.067723	0.716138	0.726225	0.018732	0.877522	0.876081	0.005764
hard_all		0	hybrid_lexical_rrf	992	0.826613	0.097782	0.735887	0.880040	0.262097	0.636089	0.992944	0.944556	0.051411
merged_without_core_domain	bigcodebench	135	hybrid_lexical_rrf	1551	0.748549	0.289491	0.491296	0.813024	0.422308	0.413282	0.945197	0.914249	0.034172
core_without_domain	bigcodebench	135	hybrid_lexical_rrf	559	0.610018	0.629696	0.057245	0.694097	0.706619	0.017889	0.860465	0.860465	0.003578
merged_without_core_domain	champ	89	hybrid_lexical_rrf	1597	0.769568	0.319975	0.482780	0.834690	0.454602	0.402004	0.960551	0.930495	0.033813
core_without_domain	champ	89	hybrid_lexical_rrf	605	0.676033	0.684298	0.067769	0.760331	0.770248	0.018182	0.907438	0.907438	0.004959
merged_without_core_domain	logicbench	19	hybrid_lexical_rrf	1667	0.751050	0.320936	0.466107	0.817636	0.453509	0.385723	0.947211	0.917816	0.032993
core_without_domain	logicbench	19	hybrid_lexical_rrf	675	0.640000	0.648889	0.069630	0.725926	0.734815	0.017778	0.880000	0.878519	0.005926
merged_without_core_domain	medcalcbench	55	hybrid_lexical_rrf	1631	0.753525	0.316983	0.473942	0.821582	0.450031	0.394237	0.953403	0.923360	0.033722
core_without_domain	medcalcbench	55	hybrid_lexical_rrf	639	0.640063	0.657277	0.067293	0.730829	0.741784	0.018779	0.892019	0.890454	0.006260
merged_without_core_domain	skillsbench	31	hybrid_lexical_rrf	1655	0.746224	0.313595	0.468882	0.814502	0.447734	0.389124	0.946224	0.917221	0.032628
core_without_domain	skillsbench	31	hybrid_lexical_rrf	663	0.625943	0.636501	0.069382	0.716440	0.725490	0.019608	0.876320	0.876320	0.004525
merged_without_core_domain	swe_skills_bench	33	hybrid_lexical_rrf	1653	0.750756	0.318209	0.466425	0.816697	0.450091	0.388385	0.947368	0.917725	0.033273
