unit_id	stratum	difficulty_rung	domain	source_unit_id	query_case_count	blind_gate_status	oracle_gate_status	leakage_flag	role_flip	final_admission_status	judge_or_gate_surface	evidence_summary
core::sra_v2_2::bigcodebench_000::wrong_precondition	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_000::wrong_precondition	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_001::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_001::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_002::wrong_precondition	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_002::wrong_precondition	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_003::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_003::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_004::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_004::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_005::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_005::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_006::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_006::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_007::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_007::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_008::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_008::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_009::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_009::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_010::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_010::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_011::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_011::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_012::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_012::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_013::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_013::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_014::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_014::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_015::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_015::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_017::wrong_precondition	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_017::wrong_precondition	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_018::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_018::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_019::poisoned_procedure_clause	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_019::poisoned_procedure_clause	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_020::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_020::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_021::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_021::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_022::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_022::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_023::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_023::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_024::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_024::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
core::sra_v2_2::bigcodebench_025::wrong_resource_pointer	core_marked_sibling	L0_CORE_MARKED_SIBLING	bigcodebench	sra_v2_2::bigcodebench_025::wrong_resource_pointer	1	core_static_cue_clean_rebuilt	core_admission_carried_forward	none	no	core_admission_carried_forward	core release provenance	core marked-sibling admission evidence carried forward from the audited core source layer
